firstVar,secondVar,thirdVar,fourthVar,fifthVar,sixthVar,seventhVar,eightVar
1343.45,-373,69,669368701.9,448028.6336,32,8917893.065,10.8821
1479.0,965,13,8519172756.5,440031.7433,33,8211915.894,83.5498
4354.44,-791,69,4046144452.9,1094877.1576,34,2528784.296,28.52364
928.16,-1509,14,11415542006.5,54984.9194,35,4199941.066,121.9306
258.53,-888,62,6779856020.7,736641.3561,36,7409841.829,116.3799
2493.51,413,57,5249555723.6,901582.9868,37,7018154.863,111.91454
8527.0,-1233,22,4746374964.8,584894.6107,38,5372991.458,44.16583
2646.69,684,90,4083299322.9,607911.0326,39,1493373.686,24.8
4320.71,-1869,8,1363441709.4,675507.3989,40,8749513.918,15.69804
8039.32,-1798,22,5896865147.6,237282.5176,41,5163161.167,113.30108
3191.38,193,100,6203183349.9,446639.4237,42,12151916.919,6.44222
6486.83,426,5,6391967685.9,253374.4198,43,2581504.363,39.73843
4545.22,-840,24,12233422651.7,521717.1018,44,6868867.789,7.07231
2599.04,-333,100,10833167425.9,916977.8773,45,2537352.884,-0.98577
367.65,-1243,51,4229871032.3,774432.638,46,2278509.791,121.24414
259.52,-250,70,11069592727.1,971834.6679,47,7018650.064,22.78333
9017.8,-351,83,6402900926.6,668972.2575,48,2443567.377,23.60996
5231.28,-487,40,12131499419.8,1042868.3305,49,10682327.167,-9.78333
7621.81,167,82,8293370031.0,1154936.789,50,6586474.695,-8.3558
2118.15,-829,37,7332833812.6,113172.7268,51,7192024.645,16.5878
5477.31,-1242,41,1167722003.3,68188.6051,52,9110413.811,34.49235
4036.84,-1607,42,2157470497.3,1079193.8342,53,5807974.173,22.9579
5428.67,-972,43,3848405612.6,1197341.5101,54,707828.671,120.18451
499.22,470,79,7969730381.8,102372.1116,55,1411666.477,155.63333
1028.23,-1084,100,6214523575.9,691567.1442,56,10003445.764,-71.14188
882.61,-1889,41,5645520586.3,446290.2232,57,8839864.187,124.4554
1300.18,117,53,10054327668.0,1083388.2497,58,8426116.921,10.26667
4562.35,466,65,10006083410.5,356849.0297,59,9952293.413,-77.9162
3296.9,-418,14,12181444453.2,1089654.4531,60,1825174.302,120.9715
5056.0,-931,55,1485050273.2,402840.8634,61,7271464.362,2.077
3315.51,-688,70,6684564594.3,152814.5845,62,1009538.885,-47.93194
484.23,415,4,6233605837.2,56847.2759,63,10638982.745,40.77214
6951.2,-1906,38,8245532067.2,228846.0148,64,249748.503,35.76155
8966.03,-1683,59,2410399193.3,1005033.927,65,6835250.156,124.16746
7475.0,-137,2,3278849635.5,556961.5594,66,6506231.439,122.66667
9980.27,-820,50,6638478859.5,42258.1943,67,4578387.524,35.22714
9099.66,-1811,56,11818316398.9,817341.7914,68,11625807.027,30.62309
3775.78,950,71,902868838.9,38150.5978,69,2759668.496,-73.87139
6395.46,-1142,100,7110317119.2,667015.4166,70,3846969.698,104.39157
2746.65,-1372,90,5622477117.0,936992.8118,71,7797453.325,47.88611
6377.44,-1145,88,7090959959.5,449242.3316,72,43410.426,124.7243
1943.88,944,44,9845817400.8,913971.7625,73,3317663.115,131.72494
5989.84,-801,11,6215876891.3,904788.1952,74,7448167.547,113.17648
3267.66,370,22,7989702232.8,135161.4191,75,4688679.792,42.17444
9378.97,79,31,12069940559.0,141425.6625,76,3248071.996,17.79008
3443.66,-1578,25,1030510089.0,463380.7678,77,7763991.894,-8.12806
4121.22,-1754,52,3475218751.3,148437.4379,78,7394776.538,116.03939
6302.21,-84,29,4413451575.5,757146.7034,79,1809197.928,98.40986
2077.36,-1281,19,26547647.5,879269.3563,80,5922550.824,126.94687
8771.44,62,94,3949393542.9,241092.3437,81,1421234.287,11.5393
1728.4,304,17,7937217684.4,1055228.6614,82,1980022.946,-53.27111
4694.62,445,53,692307144.8,3751.0318,83,1982658.54,-46.84917
4915.15,-1743,66,7265806265.7,211585.8335,84,9586744.397,46.7217
8917.49,-554,85,10619269589.8,1025557.8972,85,1228444.604,47.49127
9664.07,355,50,8273754979.3,770634.6567,86,4750369.976,-86.09706
8822.37,-1767,56,11387835508.4,328031.5477,87,3946270.932,45.91156
7048.26,438,20,4689236058.6,322812.3088,88,4358975.115,108.3395
4441.1,549,40,794123891.1,1077665.3789,89,66725.555,108.2814
298.12,374,29,10394231508.3,784353.9692,90,705356.473,-41.53583
7191.26,185,76,7384215722.2,689648.2547,91,4391192.476,-70.61104
3186.61,478,25,5524047821.6,277992.3376,92,6215250.726,114.30843
9828.39,-1980,91,2763029257.3,1186715.5645,93,2137632.121,99.02316
6192.58,-2101,54,1558152323.1,386640.173,94,2657331.534,24.66302
1014.39,971,42,10819442400.5,1070064.4735,95,9539741.974,-46.565
9322.53,666,97,3046530926.6,579946.5253,96,10717318.376,34.38333
2158.99,-1398,39,4334576147.6,483651.3815,97,11812168.324,112.3417
9990.64,-1218,95,8743466608.6,232991.9013,98,2116934.529,-75.20139
4262.24,-1284,83,6082619288.5,282881.907,99,3332043.59,-90.99417
6048.24,-491,53,4714976613.9,888452.9378,100,11988570.044,40.25742
